"","census_tract","corr","label","concept"
"1","B01001_002",1,"Estimate!!Total!!Male","SEX BY AGE"
"646","B05003_002",1,"Estimate!!Total!!Male","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"1227","B06003_002",1,"Estimate!!Total!!Male","PLACE OF BIRTH BY SEX IN THE UNITED STATES"
"1515","B07003_002",0.995174383525275,"Estimate!!Total!!Male","GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES"
"5044","B14002_002",0.985068338397635,"Estimate!!Total!!Male","SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"5092","B14003_002",0.985068338397635,"Estimate!!Total!!Male","SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER"
"6668","B18101_002",0.970017212170547,"Estimate!!Total!!Male","SEX BY AGE BY DISABILITY STATUS"
"6706","B18102_002",0.970017212170547,"Estimate!!Total!!Male","SEX BY AGE BY HEARING DIFFICULTY"
"6744","B18103_002",0.970017212170547,"Estimate!!Total!!Male","SEX BY AGE BY VISION DIFFICULTY"
"15680","B27001_002",0.970017212170547,"Estimate!!Total!!Male","HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE"
"15736","B27002_002",0.970017212170547,"Estimate!!Total!!Male","PRIVATE HEALTH INSURANCE STATUS BY SEX BY AGE"
"15792","B27003_002",0.970017212170547,"Estimate!!Total!!Male","PUBLIC HEALTH INSURANCE STATUS BY SEX BY AGE"
"6782","B18104_002",0.934710128340264,"Estimate!!Total!!Male","SEX BY AGE BY COGNITIVE DIFFICULTY"
"6814","B18105_002",0.934710128340264,"Estimate!!Total!!Male","SEX BY AGE BY AMBULATORY DIFFICULTY"
"6846","B18106_002",0.934710128340264,"Estimate!!Total!!Male","SEX BY AGE BY SELF-CARE DIFFICULTY"
"4595","B12001_002",0.875767375129788,"Estimate!!Total!!Male","SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER"
"4613","B12002_002",0.875767375129788,"Estimate!!Total!!Male","SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER"
"5148","B14004_002",0.875767375129788,"Estimate!!Total!!Male","SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER"
"7312","B19325_002",0.875767375129788,"Estimate!!Total!!Male","SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER"
"7479","B20005_002",0.865202920839529,"Estimate!!Total!!Male","SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER"
"7777","B23001_002",0.865202920839529,"Estimate!!Total!!Male","SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"5246","B15001_002",0.856531678192044,"Estimate!!Total!!Male","SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER"
"7581","B21001_004",0.856053425876337,"Estimate!!Total!!Male","SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER"
"6878","B18107_002",0.822448262990015,"Estimate!!Total!!Male","SEX BY AGE BY INDEPENDENT LIVING DIFFICULTY"
"8164","B23022_002",0.798496356311747,"Estimate!!Total!!Male","SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS"
"7583","B21001_006",0.785321218025423,"Estimate!!Total!!Male!!Nonveteran","SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER"
"8703","B24080_002",0.687261453178098,"Estimate!!Total!!Male","SEX BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER"
"2140","B08006_018",0.678418095874481,"Estimate!!Total!!Male","SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK"
"2178","B08007_006",0.678418095874481,"Estimate!!Total!!Male","SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL"
